id;code_sap;razao_social;nome_fantasia;criado_em;atualizado_em;status
46;10551465;ALTEMIR INSUMOS AGRICOLAS LTDA;ALTEMIR;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
47;10553118;AMAGGI EXPORTACAO E IMPORT LTDA;AMAGGI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
48;10529284;ANDRE & ANDRE LTDA;AGROMANO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
49;10545592;AP AGRO INSUMOS AGRIC LTDA;AP;2019-12-03 18:55:28.274305;2019-12-20 02:53:09.319169;1
50;10613398;BANDEIRA SIMONATO & CIA LTDA;BANDEIRA SIMONATO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
51;10434489;BELAGRICOLA COM REP PROD AGRIC S.A;BELAGRICOLA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
52;10434364;BIOAGRO COML AGROP LTDA;BIOAGRO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
53;10441730;BOCCHI AGRONEGOCIOS CIA LTDA;BOCCHI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
54;10548681;BOLSA AGRONEGOCIOS REPRESENTACOES L;BOLSA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
55;10545361;CAMPO LIMPO INSUMOS AGROP LTDA;CAMPO LIMPO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
56;10434372;CAMPO VERDE COM AGRIC E REPRES LTDA;CAMPO VERDE;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
57;10433879;CANAA COM PROD AGROPECUARIOS LTDA;CANAÃ;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
58;10433603;CAPAL COOP AGROINDUSTRIAL;CAPAL;2019-12-03 18:55:28.274305;2019-12-19 19:04:57.140690;1
59;10470358;CARLOS A M OLIVEIRA COM INS AGROP L;CARLOS A M;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
60;10614069;CARMINATTI CEREAIS LTDA;CARMINATTI;2019-12-03 18:55:28.274305;2020-01-10 12:19:01.743246;1
61;10552654;CASA DAS SEMENTES E INS AGRIC LTDA;CASA DAS SEMENTES;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
62;10434490;CASA DO ADUBO SA;CASA DO ADUBO;2019-12-03 18:55:28.274305;2019-12-18 19:47:58.770577;1
63;10546251;CASAL COMERCIO E SERVICOS LTDA;CASAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
64;10551439;CASTROLANDA COOP AGROINDL LTDA;CASTROLANDA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
65;10598556;CATIVA AGRONEG COM E REPRES LTDA;CATIVA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
66;10549878;CCAB AGRO SA;CCAB;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
67;10550072;CENTRAL DE ADUBOS COM E REPRES LTDA;CENTRAL DE ADUBOS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
68;10549094;CHS AGRONEGOCIO IND E COM LTDA;CHS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
69;10434129;CIA DA TERRA AGRONEGOCIOS LTDA;CIA DA TERRA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
70;10434524;CIARAMA INSUMOS LTDA;CIARAMA;2019-12-03 18:55:28.274305;2019-12-19 18:53:05.500418;1
71;10548562;COAGRISOL COOP AGROINDUSTRIAL;COAGRISOL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
72;10439737;COAGRO COOP AGROINDUSTRIAL;COAGRO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
73;10433742;COAGRU COOP AGROINDUSTRIAL UNIAO;COAGRU;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
74;10433609;COAMO AGROINDUSTRIAL COOPERATIVA;COAMO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
75;10552073;COAPA COOP AGROINDL DO TOCANTINS;COAPA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
76;10439732;COASUL COOP AGROINDUSTRIAL;COASUL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
77;10433718;COCAMAR COOP AGROINDL;COCAMAR;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
78;10433771;COCARI COOPERATIVA AGROP INDL;COCARI;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
79;10547482;COM DE INSUMOS AGRICOLAS PAZINATO L;CAPAZ;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
80;10433981;COM INS MAQ AGRIC STO AUGUSTO LTDA;IMACOL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
81;10512817;COMID MAQUINAS LTDA;COMID;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
82;10434517;COML AGRO INDUSTRIAL LTDA;NUTRIMAQ;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
83;10546200;COML AGROP SINUELO LTDA;AGROSINUELO;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
84;10604105;COML CEREALISTA SOLIMA LT;SOLIMA CEREALISTA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
85;10551228;COMTECNICA COM DE PROD AGROPEC LTDA;COMTECNICA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
86;10574309;CONCEITO AGRIC REPRES COM P AGROP;CONCEITO AGRÍCOLA;2019-12-03 18:55:28.274305;2019-12-18 13:41:06.028854;1
87;10468867;COOP A1;A1;2019-12-03 18:55:28.274305;2020-01-07 18:54:06.715513;1
88;10468995;COOP AGRARIA DE MACHADO LTDA;COOPAMA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
89;10559007;COOP AGRARIA DOS CAFEIC SAO GABRIEL;COOABRIEL;2019-12-03 18:55:28.274305;2020-01-09 14:26:27.946070;1
90;10434575;COOP AGRIC AGUA SANTA LTDA;COASARS;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
91;10433963;COOP AGRIC CATARINENSE DE CEREAIS;COACCER;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
92;10434063;COOP AGRIC DE CAPAO BONITO;CACB;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
93;10546106;COOP AGRIC DE UNAI LTDA;COAGRIL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
94;10433997;COOP AGRIC MISTA DE ADAMANTINA;CAMDA;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
95;10433594;COOP AGRIC MISTA GEN OSORIO LTDA;COTRIBA;2019-12-03 18:55:28.274305;2019-12-27 12:23:33.094930;1
96;10433626;COOP AGRIC MISTA IRAI LTDA;COPAMIL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
97;10550708;COOP AGRIC MISTA NOVA PALMA LTDA;CAMNPAL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
98;10433790;COOP AGRIC MISTA PONTA GROSSA;COOPAGRÍCOLA;2019-12-03 18:55:28.274305;2019-12-27 13:15:33.293033;1
99;10547335;COOP AGRIC MISTA SAO CRISTOVAO LTDA;CAMISC;2019-12-03 18:55:28.274305;2020-01-09 13:58:26.851375;1
100;10547626;COOP AGRIC RURAL CATARINENSE;COOPERRURAL;2019-12-03 18:55:28.274305;2020-01-09 15:13:26.739677;1
101;10548083;COOP AGRIC TUPANCIRETA LTDA;AGROPAN;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
102;10552327;COOP AGRICOLA DO SUL;COPASUL;2019-12-03 18:55:28.274305;2019-12-03 18:55:28.274305;1
