ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
267;THIOVIT JET - 25 KG;THIOVIT JET;25;KG;25;0
268;THIOVIT SANDOZ - 2 KG;THIOVIT SANDOZ;2;KG;2;0
269;THIOVIT TVT - 25 KG;THIOVIT TVT;25;KG;25;0
270;TILT - 1 L;TILT;1;L;1;1
271;TILT - 5 L;TILT;5;L;5;1
272;TOPIK - 1 L;TOPIK;1;L;1;1
273;TOUCHDOWN - 1 L;TOUCHDOWN;1;L;1;0
274;TOUCHDOWN - 5 L;TOUCHDOWN;5;L;5;0
275;TOUCHDOWN - 20 L;TOUCHDOWN;20;L;20;0
276;TRIGARD - 15 G;TRIGARD;15;G;0.015;1
277;TRIGARD - 120 G;TRIGARD;120;G;0.12;1
278;TRIVELE - 20 L;TRIVELE;20;L;20;1
279;UNIX 750 WG - 1 KG;UNIX 750 WG;1;KG;1;1
280;VANTIGO - 3 KG;VANTIGO;3;KG;3;1
281;VERDADERO - 25 KG;VERDADERO;25;KG;25;0
282;VERDADERO - 50 G;VERDADERO;50;G;0.05;1
283;VERDADERO - 1 KG;VERDADERO;1;KG;1;1
284;VERTIMEC 18 - 250 ML;VERTIMEC 18;250;ML;0.25;1
285;VERTIMEC 18 - 1 L;VERTIMEC 18;1;L;1;1
286;VERTIMEC 18 - 5 L;VERTIMEC 18;5;L;5;1
287;VIPER 700 WP - 1 KG;VIPER 700 WP;1;KG;1;0
288;VOLIAM FLEXI - 1 L;VOLIAM FLEXI;1;L;1;1
289;VOLIAM FLEXI - 5 L;VOLIAM FLEXI;5;L;5;1
290;VOLIAM FLEXI - 20 L;VOLIAM FLEXI;20;L;20;1
291;VOLIAM TARGO - 1 L;VOLIAM TARGO;1;L;1;1
292;VOLIAM TARGO - 5 L;VOLIAM TARGO;5;L;5;1
293;ZAPP QI - 1 L;ZAPP QI;1;L;1;1
294;ZAPP QI - 5 L;ZAPP QI;5;L;5;1
295;ZAPP QI - 20 L;ZAPP QI;20;L;20;1
296;ZAPP QI - 1000 L;ZAPP QI;1000;L;1000;1
