ID ONIX;DESCRICAO;PREFIXO;Embalagem;Unid;Volume;Status
132;FIPRONIL - 5 L;FIPRONIL;5;L;5;0
133;FIXADE - 1 L;FIXADE;1;L;1;1
134;FLEX - 1 L;FLEX;1;L;1;1
135;FLEX - 5 L;FLEX;5;L;5;1
136;FLORITE 1085 - 5 L;FLORITE 1085;5;L;5;0
137;FLORITE 1085 - 100 L;FLORITE 1085;100;L;100;0
138;FLORITE 1197 - 20 L;FLORITE 1197;20;L;20;0
139;FLORITE 1197 VERMELHO - 20 L;FLORITE 1197 VERMELHO;20;L;20;0
140;FOLIO GOLD - 1 KG;FOLIO GOLD;1;KG;1;0
141;FORTENZA - 1 L;FORTENZA;1;L;1;1
142;FORTENZA - 5 L;FORTENZA;5;L;5;1
143;FORTENZA - 20 L;FORTENZA;20;L;20;1
144;FROWNCIDE - 1 L;FROWNCIDE;1;L;1;0
145;FROWNCIDE - 5 L;FROWNCIDE;5;L;5;0
146;FUSIFLEX - 5 L;FUSIFLEX;5;L;5;1
147;FUSILADE 125 - 1 L;FUSILADE 125;1;L;1;0
148;FUSILADE 125 - 5 L;FUSILADE 125;5;L;5;0
149;FUSILADE 250 - 1 L;FUSILADE 250;1;L;1;1
150;FUSILADE 250 - 5 L;FUSILADE 250;5;L;5;1
151;GESAGARD - 20 L;GESAGARD;20;L;20;1
152;GESAPAX - 5 L;GESAPAX;5;L;5;0
153;GESAPAX - 20 L;GESAPAX;20;L;20;0
154;GESAPRIM - 5 L;GESAPRIM;5;L;5;1
155;GESAPRIM - 20 L;GESAPRIM;20;L;20;1
156;GESAPRIM GRDA - 10 KG;GESAPRIM GRDA;10;KG;10;1
157;GLIFOS - 20 L;GLIFOS;20;L;20;0
158;GRAMOCIL - 1 L;GRAMOCIL;1;L;1;1
159;GRAMOCIL - 5 L;GRAMOCIL;5;L;5;1
160;GRAMOCIL - 20 L;GRAMOCIL;20;L;20;1
161;GRAMOXONE - 1 L;GRAMOXONE;1;L;1;1
162;GRAMOXONE - 5 L;GRAMOXONE;5;L;5;1
163;GRAMOXONE - 20 L;GRAMOXONE;20;L;20;1
164;HICOAT S30 - 9,6 KG;HICOAT S30;9.6;KG;9.6;0
165;HUKK - 5 KG;HUKK;5;KG;5;0
166;ICON VET - 25 G;ICON VET;25;G;0.025;0
167;KARATE ZEON 250 CS - 250 ML;KARATE ZEON 250 CS;250;ML;0.25;1
